CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location,closure_action
50124835,LAS DELICIAS ADONAI RESTAURANT,Queens,14-91,BEACH CHANNEL DRIVE,11691,3478068250,Spanish,04/04/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,58,,,05/29/2026,Cycle Inspection / Initial Inspection,40.61023345304,-73.7535428115,414,31,103201,4587852,4156500024,QN15,POINT (-73.753542811495 40.610233453042),closed
50080912,J AND C RESTAURANT,Brooklyn,2187,CLARENDON ROAD,11226,3476279425,Caribbean,01/22/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,71,,,05/29/2026,Cycle Inspection / Initial Inspection,40.64274179286,-73.95688949158,314,40,079200,3118887,3051650047,BK95,POINT (-73.956889491579 40.642741792861),closed
50152762,THE GREEN ORGANIC,Manhattan,105,BROAD STREET,10004,9299499292,American,03/27/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,91,,,05/29/2026,Cycle Inspection / Initial Inspection,40.70302461698,-74.01150873479,101,01,000900,1000012,1000070031,MN25,POINT (-74.011508734789 40.70302461698),closed
50147982,RECORD ROOM,Queens,47-09,CENTER BOULEVARD,11109,7188854632,New American,03/28/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,102,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.74586839413,-73.95689828961,402,26,000100,4534604,4000210060,QN31,POINT (-73.956898289611 40.745868394133),closed
50129050,CREME CUISINE,Brooklyn,1031,EAST   92 STREET,11236,7182887666,Caribbean,08/26/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,58,,,05/29/2026,Cycle Inspection / Initial Inspection,40.64384366003,-73.9078102899,318,46,096400,3229213,3081610036,BK50,POINT (-73.9078102899 40.643843660025),closed
50073715,LIKE CAFE,Brooklyn,6205,18 AVENUE,11204,7189752188,Chinese,11/20/2024,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,19,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.62075812843,-73.9885127088,311,47,024800,3132800,3055330008,BK28,POINT (-73.988512708796 40.620758128428),re_closed
50132530,E-NOODLE,Manhattan,26,JEFFERSON STREET,10002,9174093224,Chinese,09/12/2023,Establishment re-opened by DOHMH.,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10,C,09/12/2023,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.71333398232,-73.98858326507,103,01,000600,1003235,1002710047,MN28,POINT (-73.988583265065 40.713333982316),re_opened
50162883,PAPA CHICKEN,Queens,147-09,45 AVENUE,11355,9172516122,Chicken,03/21/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,44,,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.75552888621,-73.81498889949,407,20,118900,4121969,4054060047,QN52,POINT (-73.814988899493 40.755528886209),closed
50108645,LAS MARGARITAS EXPRESS,Brooklyn,7302,3 AVENUE,11209,3477516771,Mexican,04/10/2025,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,C,04/10/2025,05/29/2026,Cycle Inspection / Reopening Inspection,40.63271996546,-74.02728767633,310,47,006600,3147817,3059170038,BK31,POINT (-74.027287676331 40.632719965457),re_opened
50157246,GOTTA GETTA BAGEL,Queens,107-09,71 AVENUE,11375,7188982020,American,12/06/2024,Establishment re-opened by DOHMH.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,P,12/06/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.72039318495,-73.84465087785,406,29,071100,4077493,4032390023,QN17,POINT (-73.844650877851 40.72039318495),re_opened
41604732,KING'S CHEF,Queens,153-27,CROSS ISLAND PARKWAY,11357,7187678100,Chinese,06/06/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches in facility's food or non-food area.,Critical,54,,,05/29/2026,Cycle Inspection / Initial Inspection,40.78693457683,-73.8083722537,407,19,098700,4431543,4047170016,QN49,POINT (-73.808372253703 40.786934576832),closed
50019097,LA PRINCESA DEL RODEO,Bronx,1177B,WHEELER AVENUE,10472,3473675728,Mexican,10/30/2021,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,40,,,05/29/2026,Inter-Agency Task Force / Initial Inspection,40.82770614913,-73.87993366053,209,17,005002,2023775,2037380043,BX55,POINT (-73.879933660533 40.827706149128),closed
41585586,NIKKO,Manhattan,1280,AMSTERDAM AVENUE,10027,2125311188,Asian/Asian Fusion,09/08/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,92,,,05/29/2026,Cycle Inspection / Initial Inspection,40.81138323795,-73.95773354014,109,07,021100,1084108,1019780001,MN09,POINT (-73.957733540135 40.811383237945),closed
50120714,J. NAZCA PALACE,Queens,35-14,JUNCTION BOULEVARD,11368,7182551884,Peruvian,12/16/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,131,,,05/29/2026,Cycle Inspection / Re-inspection,40.75303440987,-73.871651777,403,21,027300,4529557,4014690012,QN28,POINT (-73.871651777003 40.753034409874),closed
50055636,PANDA EXPRESS,Brooklyn,423,FULTON STREET,11201,7182463898,Chinese,10/10/2023,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,P,10/10/2023,05/29/2026,Cycle Inspection / Reopening Inspection,40.69175728489,-73.9880749202,302,33,001100,3000374,3001500011,BK38,POINT (-73.988074920201 40.691757284893),re_opened
50083192,HONEYBEE BAKERY,Bronx,1355,EAST GUN HILL ROAD,10469,8457628359,Bakery Products/Desserts,07/18/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,60,,,05/29/2026,Cycle Inspection / Initial Inspection,40.87062978248,-73.84654753732,212,12,036400,2061691,2047590042,BX03,POINT (-73.846547537318 40.870629782476),closed
50006002,LUCKY CAT,Manhattan,232,EAST   53 STREET,10022,2128385333,Japanese,06/28/2023,Establishment re-closed by DOHMH.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.7573315564,-73.96855338151,106,04,009800,1038538,1013260035,MN19,POINT (-73.968553381512 40.757331556402),re_closed
50110743,AJI FUSION SUSHI,Brooklyn,201,5 AVENUE,11217,7188772466,Asian/Asian Fusion,07/17/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,73,,,05/29/2026,Cycle Inspection / Initial Inspection,40.67659408084,-73.98031927647,306,39,013100,3019762,3009530003,BK37,POINT (-73.980319276468 40.676594080842),closed
50145101,BOSTON FOOD & GRILL,Brooklyn,1019,NOSTRAND AVENUE,11225,3472402676,Caribbean,09/26/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,47,,,05/29/2026,Pre-permit (Operational) / Re-inspection,40.66353384751,-73.95092500509,309,40,032900,3034834,3013160006,BK60,POINT (-73.950925005086 40.663533847506),closed
50107669,CRAB DU JOUR,Brooklyn,605,AVENUE Z,11223,9172508158,Seafood,07/15/2024,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,P,07/15/2024,05/29/2026,Cycle Inspection / Reopening Inspection,40.58606931537,-73.97159736981,313,47,037402,3195689,3072130040,BK26,POINT (-73.971597369805 40.586069315374),re_opened
50126047,BIG GAY ICE CREAM / COFFEE PROJECT NEW YORK,Manhattan,450,WASHINGTON STREET,10013,9174882306,American,01/27/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,47,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.723887673,-74.01081605449,101,01,003900,1087707,1002247504,MN24,POINT (-74.010816054494 40.723887673),closed
40846125,ALL AMERICAN DELI,Manhattan,42,WATER STREET,10004,2125095007,Sandwiches,04/01/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,65,,,05/29/2026,Cycle Inspection / Initial Inspection,40.70342548705,-74.01009139276,101,01,000900,1000857,1000300033,MN25,POINT (-74.010091392761 40.703425487046),closed
41454471,ASIAN JEWELS SEAFOOD RESTAURANT,Queens,133-30,39 AVENUE,11354,7183598600,Chinese,09/10/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,35,,,05/29/2026,Cycle Inspection / Re-inspection,40.75909344598,-73.83415718061,407,20,087100,4112276,4049730016,QN22,POINT (-73.834157180609 40.75909344598),closed
40589507,CONNECTICUT MUFFIN,Brooklyn,206,PROSPECT PARK WEST,11215,7189652067,Coffee/Tea,02/20/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,64,,,05/29/2026,Cycle Inspection / Initial Inspection,40.66081432336,-73.980129316,307,39,016900,3026707,3011050038,BK40,POINT (-73.980129315998 40.660814323358),closed
50116479,ARVACI COFFEE,Manhattan,340,WEST   37 STREET,10018,5187094680,Coffee/Tea,04/05/2024,Establishment re-opened by DOHMH.,,,Not Applicable,0,P,04/05/2024,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.7546018904,-73.99332256085,104,03,011100,1013604,1007600063,MN13,POINT (-73.993322560853 40.754601890395),re_opened
50178223,POTIWA PIZZA INTERNATIONAL,Brooklyn,1456,FLATBUSH AVENUE,11210,7864877227,Pizza,02/05/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,03E,No or inadequate potable water supply. Water or ice not potable or from unapproved source. Bottled water not NY State certified. Cross connection in potable water supply system.,Critical,136,N,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.6353062582,-73.95031172439,314,45,077000,3121644,3052490057,BK42,POINT (-73.950311724386 40.635306258198),closed
50171485,PITHA GHOR,Queens,163-08,HILLSIDE AVENUE,11432,9295491942,Bangladeshi,12/09/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,100,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.70874772145,-73.79910080784,412,24,044602,4210047,4098130032,QN61,POINT (-73.799100807835 40.708747721454),closed
50170934,% ARABICA,Manhattan,37,WEST   54 STREET,10019,5105041857,Middle Eastern,03/31/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,163,,,05/29/2026,Pre-permit (Operational) / Re-inspection,40.76159336202,-73.97668425696,105,04,010400,1034790,1012700013,MN17,POINT (-73.976684256964 40.761593362017),closed
50114214,MOCHA CAFE,Bronx,145,WEST KINGSBRIDGE ROAD,10468,3472936829,American,02/29/2024,Establishment re-opened by DOHMH.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4,,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.86944838862,-73.90355882982,208,14,026701,2015290,2032480143,BX28,POINT (-73.90355882982 40.86944838862),re_opened
50178153,NEW SPICY HOUSE,Queens,133-35,ROOSEVELT AVENUE,11354,6468296678,Chinese,04/28/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,64,N,,05/29/2026,Pre-permit (Operational) / Re-inspection,40.75850199526,-73.83324180899,407,20,087100,4112276,4049730016,QN22,POINT (-73.833241808988 40.758501995257),closed
40860032,BARRANQUILLA BAKERY,Queens,34-48,JUNCTION BOULEVARD,11372,7184781888,Latin American,08/28/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,103,,,05/29/2026,Cycle Inspection / Initial Inspection,40.75375670428,-73.87202936532,403,21,027300,4035809,4014550070,QN28,POINT (-73.872029365318 40.753756704275),closed
50137482,MR. BANH MI,Brooklyn,9,BAY   35 STREET,11214,9296075001,Southeast Asian,06/30/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,19,,,05/29/2026,Cycle Inspection / Initial Inspection,40.59932153691,-73.99052576907,311,43,030000,3329280,3068630038,BK29,POINT (-73.990525769071 40.599321536905),closed
50116306,DANNY'S GRILL,Queens,73-06,BELL BOULEVARD,11364,7182682568,Barbecue,10/22/2025,Establishment re-closed by DOHMH.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.74055753946,-73.75817597943,411,23,129103,4439703,4077320050,QN42,POINT (-73.758175979426 40.74055753946),re_closed
50102562,GRAND MORELOS,Brooklyn,727,GRAND STREET,11211,7182189441,Latin American,03/16/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches in facility's food or non-food area.,Critical,74,,,05/29/2026,Cycle Inspection / Initial Inspection,40.71167107827,-73.94360670589,301,34,049500,3069464,3027830042,BK90,POINT (-73.943606705893 40.711671078267),closed
50176000,HARLEM AMOR,Manhattan,2082,FREDERICK DOUGLASS BOULEVARD,,6462993560,Other,05/15/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot TCS food item not held at or above 140 °F.,Critical,156,N,,05/29/2026,Pre-permit (Operational) / Initial Inspection,0,0,,,,,1,,,closed
50085359,HIMALAYAN CURRY HOUSE,Manhattan,254,WEST  108 STREET,10025,2127497800,Indian,11/25/2024,Establishment re-closed by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,11,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.80266072067,-73.96698231792,107,07,019500,1056672,1018790061,MN09,POINT (-73.966982317915 40.802660720673),re_closed
50130416,EMMY SQUARED PIZZA,Brooklyn,315,5 AVENUE,11215,3479661003,Pizza,08/14/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,48,,,05/29/2026,Pre-permit (Operational) / Compliance Inspection,40.67292202295,-73.98316109571,306,39,013500,3020923,3009750001,BK37,POINT (-73.983161095707 40.672922022948),closed
50137035,KPOT KOREAN BBQ & HOT POT,Brooklyn,1217,SURF AVENUE,11224,3322161777,Korean,12/29/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,17,,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.57554760493,-73.98019077752,313,47,035000,3196562,3072660260,BK23,POINT (-73.980190777515 40.575547604932),closed
50170223,CASA BLANCA RESTAURANT,Staten Island,155,LAFAYETTE AVENUE,10301,7185244391,Spanish,02/25/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,N,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.64121470507,-74.09488131107,501,49,008100,5001563,5000650001,SI22,POINT (-74.094881311071 40.641214705065),closed
50114947,X FACTORY,Brooklyn,1105,QUENTIN ROAD,11229,3476991729,Eastern European,04/15/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,59,,,05/29/2026,Cycle Inspection / Initial Inspection,40.6078628174,-73.96178848217,315,48,055400,3182310,3067740045,BK25,POINT (-73.961788482174 40.607862817398),closed
50085359,HIMALAYAN CURRY HOUSE,Manhattan,254,WEST  108 STREET,10025,2127497800,Indian,07/06/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,0,,,05/29/2026,Cycle Inspection / Initial Inspection,40.80266072067,-73.96698231792,107,07,019500,1056672,1018790061,MN09,POINT (-73.966982317915 40.802660720673),closed
50117315,STOWAWAY,Brooklyn,159,GREENPOINT AVENUE,11222,9178907734,American,09/19/2023,Establishment re-opened by DOHMH.,19-05,Providing single-use plastic stirrers or single-use plastic splash sticks.,Not Critical,,,,05/29/2026,Administrative Miscellaneous / Reopening Inspection,40.73029043414,-73.95326061021,301,33,057500,3064778,3025590054,BK76,POINT (-73.953260610205 40.730290434143),re_opened
41627217,ANJAPPAR,Manhattan,116,LEXINGTON AVENUE,10016,9087689384,Indian,02/24/2026,Establishment re-closed by DOHMH.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,30,,,05/29/2026,Cycle Inspection / Reopening Inspection,40.74250185315,-73.98256964798,105,02,006800,1018198,1008830074,MN21,POINT (-73.98256964798 40.742501853152),re_closed
50129154,Auntie Anne's / Cinnabon / Carvel,Bronx,1370,METROPOLITAN AVENUE,10462,9199037490,Bakery Products/Desserts,12/12/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.83499959378,-73.86104552296,209,18,021200,2096674,2039387501,BX46,POINT (-73.861045522957 40.834999593779),closed
50113589,375 CHICKEN N FRIES,Manhattan,649,9 AVENUE,10036,3477558666,Chicken,03/04/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,98,,,05/29/2026,Cycle Inspection / Initial Inspection,40.76061001341,-73.99105142131,104,03,012100,1083774,1010550031,MN15,POINT (-73.991051421307 40.760610013406),closed
50161108,LOS ENCEBOLLADOS 7 POTENCIAS,Queens,8626A,ROOSEVELT AVE,,6463429079,Latin American,04/08/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,Critical,124,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,0,0,,,,4037049,4015010054,,,closed
50105565,NO. 1 CHINESE FOOD,Brooklyn,420,DITMAS AVENUE,11218,7188540825,Chinese,03/30/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,61,,,05/29/2026,Cycle Inspection / Re-inspection,40.63589340395,-73.97476111732,312,40,048400,3127141,3053980008,BK41,POINT (-73.974761117323 40.635893403945),closed
50180215,MOON STAR,Queens,172-16,46 AVENUE,11358,7184618826,Chinese,03/05/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,85,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.75326014317,-73.79317301812,411,20,145900,4126059,4055820035,QN48,POINT (-73.793173018115 40.753260143174),closed
50179476,LOK HIN,Bronx,299,BROOK AVENUE,10454,7184024171,Chinese,02/12/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,49,,,05/29/2026,Pre-permit (Operational) / Initial Inspection,40.80905915628,-73.91835994773,201,08,003900,2000338,2022850046,BX39,POINT (-73.918359947731 40.809059156278),closed
50132530,E-NOODLE,Manhattan,26,JEFFERSON STREET,10002,9174093224,Chinese,09/08/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,32,,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.71333398232,-73.98858326507,103,01,000600,1003235,1002710047,MN28,POINT (-73.988583265065 40.713333982316),closed
50107669,CRAB DU JOUR,Brooklyn,605,AVENUE Z,11223,9172508158,Seafood,07/12/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,53,,,05/29/2026,Cycle Inspection / Initial Inspection,40.58606931537,-73.97159736981,313,47,037402,3195689,3072130040,BK26,POINT (-73.971597369805 40.586069315374),closed
50105869,EL POTE RESTAURANT,Manhattan,718,2 AVENUE,10016,2128896680,Spanish,04/08/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,16,,,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.74767405367,-73.9737622078,106,04,007800,1021932,1009440055,MN20,POINT (-73.973762207796 40.747674053669),closed
40394761,E & L BAKERY & COFFEE SHOP,Bronx,4202,WHITE PLAINS ROAD,10466,7183248152,Bakery Products/Desserts,12/03/2025,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,39,,,05/29/2026,Cycle Inspection / Re-inspection,40.89356479524,-73.85726221544,212,11,043400,2068166,2049970058,BX62,POINT (-73.857262215439 40.893564795235),closed
50143985,PANUOZZO,Brooklyn,301,7 AVENUE,11215,9179091234,Pizza,05/20/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,70,,,05/29/2026,Pre-permit (Operational) / Compliance Inspection,40.66771756614,-73.98086982113,306,39,015300,3378972,3010880080,BK37,POINT (-73.980869821131 40.667717566143),closed
41257749,POPEYES,Staten Island,1351,FOREST AVENUE,10302,7187201545,Chicken,03/09/2026,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,75,,,05/29/2026,Cycle Inspection / Initial Inspection,40.62594976993,-74.13445040093,501,49,020100,5024915,5010520001,SI07,POINT (-74.134450400927 40.625949769931),closed
50116939,NAMKEEN,Brooklyn,338,BEDFORD AVENUE,11249,2018874069,Chicken,10/12/2023,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,P,10/12/2023,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.71280687419,-73.96238098364,301,34,055100,3063101,3024170027,BK73,POINT (-73.962380983638 40.71280687419),re_opened
50133760,GREENWICH & DELANCEY NYC,Manhattan,50,WEST STREET,10006,2123003013,Jewish/Kosher,08/22/2024,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,61,,,05/29/2026,Cycle Inspection / Re-inspection,40.70799766692,-74.01553128282,101,01,001300,1090192,1000177501,MN25,POINT (-74.01553128282 40.70799766692),closed
50138450,CHAMPION PIZZA,Queens,22-36A,31 STREET,11105,3476124739,Pizza,08/31/2023,Establishment re-opened by DOHMH.,,,Not Applicable,0,C,08/31/2023,05/29/2026,Pre-permit (Operational) / Reopening Inspection,40.77532122628,-73.91169305694,401,22,011500,4017620,4008440052,QN72,POINT (-73.911693056938 40.775321226281),re_opened
